from,subject,date
"""Santander Open Academy"" <notification@e.santanderopenacademy.com>",Siguiente paso para conseguir tu plaza,2025-05-20 01:26:21+00:00
"""Samsung"" <no-reply@m21.email.samsung.com>",Conecta tu 🌎 con hasta 54% OFF,2025-05-20 00:27:19+00:00
"""SHEIN"" <shein@email.shein.com>",SHEIN ,2025-05-19 20:14:57+00:00
"=?UTF-8?Q?Aerom=C3=A9xico_Promociones?=
 <ampromociones@mx.aeromexico.com>","El HOT SALE se acerca, ¡prepárate!",2025-05-19 20:09:50+00:00
Windsurf Team <updates@windsurf.ai>,Windsurf Wave 8 & 9 Just Changed Everything,2025-05-19 18:41:01+00:00
Hyperskill Crew <crew@hyperskill.org>,🏗️,
PriceTravel <emarketing@em.pricetravel.com>,💥 ¡Las,
"""adidas"" <adidas@mx-news.adidas.com>",Anthony Edwards 1 Metal Gray,2025-05-19 17:14:32+00:00
Elena Yakimova <elena.yakimova@improvado.io>,Re: Your Application to Junior Analyst at Improvado,2025-05-19 16:15:53+00:00
"""adidas"" <adidas@mx-news.adidas.com>","JOSUE, te echamos de menos.",2025-05-19 15:20:01+00:00
"""PayPal"" <PayPal@emails.paypal.com>","Hasta $800 MXN de descuento* en este HOT SALE, prepárate.",2025-05-19 15:13:00+00:00
"""Under Armour"" <underarmour@emails.underarmour.com>",Go all out in training shorts for Summer,2025-05-19 12:41:22+00:00
"""Indeed"" <no-reply@indeed.com>",Confirm your interest in a quick message to Seguridad 360,2025-05-19 03:13:51+00:00
"""Indeed"" <no-reply@indeed.com>",Confirm your interest in a quick message to Solera,2025-05-19 03:12:49+00:00
Segula Technologies <notification@smartrecruiters.com>,Thank you for applying to Segula Technologies,2025-05-18 17:20:57+00:00
Solidigm <notification@smartrecruiters.com>,Thank you for your interest in Solidigm,2025-05-18 17:18:56+00:00
"""SHEIN"" <shein@edm.mx.shein.com>",¡Compra con 50% de descuento！¡Dale la bienvenida al clima cálido con nuestras increíbles ofertas！ ✨,2025-05-18 16:29:50+00:00
"""SHEIN"" <shein@email.shein.com>",¿Recuerdas los cupones que tienes? Úsalos ahora🛒,2025-05-18 15:39:28+00:00
"""Coursera"" <Coursera@m.learn.coursera.org>",Revamped Meta courses are here!,2025-05-18 14:09:25+00:00
ATTITUDE <info@attitudeliving.com>,Summer Hair SOS? ,
"""Under Armour"" <underarmour@emails.underarmour.com>","New colors, endless miles",2025-05-18 13:13:05+00:00
DICK'S | Clearance  <DSG@e.dcsg.com>,Clearance is on!,2025-05-18 10:20:32+00:00
Oracle Talent Acquisition <noreply@oracle.com>,Your Oracle identity verification,
Oracle Talent Acquisition <noreply@oracle.com>,We received your application,
Oracle Talent Acquisition <noreply@oracle.com>,Your Oracle identity verification,
Oracle Talent Acquisition <noreply@oracle.com>,We received your application,
Oracle Talent Acquisition <noreply@oracle.com>,Your Oracle identity verification,
Sequoia Connect <no-reply@sequoiaconnect.comeet-notifications.com>,We Got It: Thanks for applying for Analista de Datos Jr,2025-05-18 03:26:54+00:00
NielsenIQ <notification@smartrecruiters.com>,Thank you for applying to ​Jr. Data Scientist (Hybrid)​ at ​NielsenIQ​,2025-05-18 03:15:55+00:00
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Jr. Data Scientist (Hybrid),2025-05-18 03:15:05+00:00
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de Audience Intelligence,2025-05-18 03:14:43+00:00
NielsenIQ <notification@smartrecruiters.com>,Thank you for applying to ​Junior Data Scientist (Hybrid)​ at ​NielsenIQ​,2025-05-18 03:13:54+00:00
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de datos JR | Monitoreo de unidades de transporte,2025-05-18 03:13:51+00:00
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Junior Data Scientist (Hybrid),2025-05-18 03:13:50+00:00
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Sr. Dashboard Data Analyst,2025-05-18 03:13:50+00:00
"""CONSUBANCO"" <no-reply@pandape.com>",Mantente informado sobre tu candidatura para Analista de datos Jr.,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Data Scientist (SQL),2025-05-18 03:12:49+00:00
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de datos Jr.,2025-05-18 03:12:47+00:00
"""GRUPO TRUPER"" <no-reply@pandape.com>","Mantente informado sobre tu candidatura para Analista de precios
 (Base de Datos)",
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de precios (Base de Datos),2025-05-18 03:11:45+00:00
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Ingeniero de Datos,2025-05-18 03:10:57+00:00
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de Datos Junior (Limpieza de Datos) - KOR,2025-05-18 03:10:23+00:00
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de Datos,2025-05-18 03:02:47+00:00
"""Hey Banco"" <noreply@hola.hey.inc>","Josue, lo que nadie te dice de la temporada de compras 👀",2025-05-17 19:18:41+00:00
Chrono24 <newsletter@chrono24.com>,Relojes que ya no se fabrican en 2025,2025-05-17 19:04:37+00:00
AliExpress <promotion@aliexpress.com>,RECIÉN LLEGADOS: y con buenas opiniones,
"""SHEIN"" <shein@news.shein.com>",💖 ¡Camisa casual de mujer de manga.... se está agotando rápido!,2025-05-17 16:55:05+00:00
HackerRank Team <no-reply@hackerrankmail.com>,Can You Solve Revising Aggregations - The Count Function?,2025-05-17 15:51:43+00:00
"""SHEIN"" <shein@email.shein.com>",¡Descuentos increíbles te esperan! Hasta - 85%💥💥,2025-05-17 15:30:53+00:00
"""SHEIN"" <shein@email.shein.com>",¡Preciosas prendas! ¡Preciosas chicas!,2025-05-17 13:56:32+00:00
"""Under Armour"" <underarmour@emails.underarmour.com>",New Quail Polo Is In—Spieth-Approved,2025-05-17 12:39:39+00:00
didi <didi@mx.didiglobal.com>,En DiDi tú decides cuánto pagar 🤑,2025-05-17 01:14:30+00:00
"""Monedero del Ahorro"" <digital@monederodelahorro.com.mx>",En compra mínima de $400 en Gastro abona 10%,2025-05-16 23:56:46+00:00
Elena Yakimova <elena.yakimova@improvado.io>,Your Application to Junior Analyst at Improvado,2025-05-16 21:26:53+00:00
"""Indeed"" <donotreply@match.indeed.com>",UX Analitycs en Bambú Mobile,2025-05-16 21:34:03+00:00
DICK'S | Flash Sale  <DSG@e.dcsg.com>,"Miss this Flash Sale? No way! Score up to 50% off deals while you
 can",2025-05-16 20:22:08+00:00
"""TELMEX"" <informacion@aviso.telmex.com>",No busques más:,2025-05-16 20:15:15+00:00
"""adidas"" <adidas@mx-news.adidas.com>",// Pensamos en ti: // Disfruta adiClub Days,2025-05-16 19:43:48+00:00
Obsidian <admin@obsidian.md>,Obsidian Account Activation,2025-05-16 19:11:50+00:00
"=?UTF-8?Q?Aerom=C3=A9xico_Promociones?=
 <ampromociones@mx.aeromexico.com>","Recibe $8,000 MXN en tu estado de cuenta y aprovecha el HOT SALE",2025-05-16 18:01:02+00:00
"""Jobgether"" <support@jobgether.com>",Get job matches before anyone else,2025-05-16 17:15:56+00:00
"""Coursera"" <no-reply@t.mail.coursera.org>",Congratulations! You've earned a badge from IBM,2025-05-16 16:32:26+00:00
"""SHEIN"" <shein@email.shein.com>",¡HOT HOT HOT MAYO!🕶️👗,2025-05-16 16:14:37+00:00
"""SHEIN"" <shein@email.shein.com>",Descubre los ,2025-05-16 14:18:00+00:00
ATTITUDE <info@attitudeliving.com>,📢NEW MEN'S LINE ALERT📢,
"""Under Armour"" <underarmour@emails.underarmour.com>","UA Tech™ training T's: Loose, light, cool",2025-05-16 12:43:01+00:00
Dwayne McDaniel <dwayne.mcdaniel@gitguardian.com>,"Start left, not left Behind: join our webinar with Chainguard!",2025-05-16 10:30:42+00:00
Roku <roku@email.roku.com>,¿Buscando qué,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Jr en GRUPO ROGA,2025-05-16 05:36:02+00:00
"""Indeed"" <donotreply@match.indeed.com>",PROGRAMADOR WEB PHP SYMFONY en Kurigage SA de CV,2025-05-16 05:36:02+00:00
Ford Careers <RecruitingNoReply@ford.com>,New job opportunities at Ford Global Career Site,
insulet@myworkday.com,"Software Test Trainee  (Remote/Flexible) - Insulet - Status of your
 application",
alertas@heybanco.com,Servicio de Alertas HeyBanco,
alertas@heybanco.com,Servicio de Alertas HeyBanco,
"""Samsung"" <no-reply@m21.email.samsung.com>","Galaxy Tab S10 FE desde $11,999🏷️ 🤩👉",2025-05-15 23:56:33+00:00
HackerRank Team <no-reply@hackerrankmail.com>,Improve your Coding Skills with Occupations,2025-05-15 22:49:26+00:00
LeetCode <no-reply@leetcode.com>,LeetCode Weekly Digest,2025-05-15 19:50:45+00:00
"""Indeed"" <donotreply@match.indeed.com>","Atencion a clientes sin experiencia $17,000 / Administrativo bilingue en Hispanic Teleservices De Guadalajara SA de CV",2025-05-15 19:36:36+00:00
"""Indeed"" <donotreply@match.indeed.com>",Analista De Datos en Kapital Financiera,2025-05-15 19:36:31+00:00
"""Indeed"" <donotreply@match.indeed.com>",Consultor funcional Odoo Ss en Oohe Technologies S.A de C.V,2025-05-15 19:36:29+00:00
"""Indeed"" <donotreply@match.indeed.com>",Ingeniero de Servicio (Experiencia en equipos de laboratorio clínico) en BIONCOMED,2025-05-15 19:36:28+00:00
"""Indeed"" <donotreply@match.indeed.com>",Ingeniero Soporte Local en The Villa Group Resorts,2025-05-15 19:36:27+00:00
Kaggle <noreply@kaggle.com>,Introducing the OpenAI to Z Challenge: Kaggle’s First Hackathon!,2025-05-15 18:52:04+00:00
Knowely <mailer@knowely.com>,🤖 Learn AI in just 1 day with our new course!,2025-05-15 18:00:26+00:00
"""adidas"" <adidas@mx-news.adidas.com>",⚪ adidas te acompaña...,2025-05-15 17:10:47+00:00
"""Cultural Care Au Pair"" <aupair.mx@culturalcare.com>",Deja el chat y vive el plan: ¡Es nuestro Sunday Picnic!,2025-05-15 17:01:54+00:00
GNC REWARDS <boletin@newsletter.gnc.com.mx>,¡Regresa con 15% off! 🤩🛍️,
"=?UTF-8?Q?The_Pok=C3=A9mon_Company_International?=
 <pokemon@email.pokemon.com>",El Prelanzamiento de Rivales Predestinados pronto despegará a la velocidad de la luz🚀,2025-05-15 16:15:47+00:00
Glassdoor <noreply@glassdoor.com>,Just in at Teleflex: This week's employee reviews and more,
=?UTF-8?B?TGlua2VkSW4=?= <linkedin@e.linkedin.com>,"Josue Alfredo, gracias por ser miembro de LinkedIn",2025-05-15 16:09:49+00:00
"""SHEIN"" <shein@email.shein.com>",¡Algo especial está reservado!,2025-05-15 13:14:32+00:00
"""Indeed"" <alert@indeed.com>","Nueva vacante de Asesor de laparoscopia en Teysa Biomedica y 2 nuevas vacantes de biomedica en Chihuahua, Chih. ",2025-05-15 07:36:55+00:00
Google Flights <noreply-travel@google.com>,Ruta que sigues: vuelos de Chihuahua a Tijuana desde 2.405 MXN,2025-05-14 23:29:07+00:00
"""SHEIN"" <shein@edm.mx.shein.com>",¡Prepárate para la fiesta con ofertas HOT MAYO!,2025-05-14 18:43:01+00:00
MacroFactor Team <support@macrofactorapp.com>,Updates to Our MacroFactor Privacy Notice,
"=?UTF-8?Q?Aerom=C3=A9xico_Promociones?=
 <ampromociones@mx.aeromexico.com>","Vuela a Veracruz desde $3,035 MXN, ¡no te quedes sin descubrir nuevos destinos!",2025-05-14 17:06:25+00:00
"""adidas"" <adidas@mx-news.adidas.com>",Un comeback legendario 🏀,2025-05-14 16:25:49+00:00
=?UTF-8?B?TGlua2VkSW4gUHJlbWl1bQ==?= <linkedin@e.linkedin.com>,"Josue Alfredo, gracias por ser miembro de LinkedIn",2025-05-14 15:03:19+00:00
"""Under Armour"" <underarmour@emails.underarmour.com>",Jordan Spieth shoots for another major,2025-05-14 14:47:00+00:00
ATTITUDE <info@attitudeliving.com>,From Sunrise to Sunset ,
DICK'S | Clearance  <DSG@e.dcsg.com>,Final chance,2025-05-14 10:31:04+00:00
Ford Careers <RecruitingNoReply@ford.com>,New job opportunities at Ford Global Career Site,
Fitbit <noreply@fitbit.com>,Tu informe de progreso semanal de Fitbit,2025-05-14 01:13:22+00:00
Monster Hunter Now <monsterhunternow@email.nianticlabs.com>,Fire Element Quests ,
Hyperskill Crew <crew@hyperskill.org>,⚙️,
"""SHEIN"" <shein@news.shein.com>",¡No dejes que se queden en tu carrito! Es hora de llevarlos a casa.,2025-05-13 21:43:07+00:00
"""Under Armour"" <underarmour@emails.underarmour.com>",Not just a best seller—a staple,2025-05-13 21:27:01+00:00
"""SHEIN"" <shein@email.shein.com>", ¡Renueva tu estilo! 👨,2025-05-13 20:29:28+00:00
"""Samsung"" <no-reply@m21.email.samsung.com>","Josue, ¿y si el futuro viniera con $1,000 MXN y música incluida? 👀",2025-05-13 19:33:48+00:00
Glassdoor Community <noreply@glassdoor.com>,"I just don't understand when you're at a job being professional,
 friendly, and...",
Chrono24 <newsletter@chrono24.com>,Relojes con esfera lila que pasan desapercibidos,2025-05-13 19:04:23+00:00
"""Coursera"" <Coursera@m.learn.coursera.org>",You’re Invited: Coursera Learner Outcome Survey,2025-05-13 19:03:40+00:00
"""adidas"" <adidas@mx-news.adidas.com>",/// Luce tu estilo ///,2025-05-13 18:10:54+00:00
"""Jobgether"" <support@jobgether.com>",Here’s exactly how Jobgether helps you get hired (plus a bonus guide),2025-05-13 16:57:53+00:00
didi <didi@mx.didiglobal.com>,En DiDi tú decides cuánto pagar 🤑,2025-05-13 16:50:21+00:00
"""TELMEX"" <informacion@aviso.telmex.com>",¡Disfruta de 150 megas al mejor precio!,2025-05-13 16:43:36+00:00
=?UTF-8?Q?Capacitaci=C3=B3n_CIMAV?= <capacitacion@cimav.edu.mx>,"Seguimiento a la inscripción del ""2do. Diplomado Internacional en Semiconductores 2025"" - parte teórica",2025-05-13 16:22:29+00:00
"""SHEIN"" <shein@email.shein.com>",Ofertas en ,2025-05-13 15:52:15+00:00
"""SHEIN"" <shein@email.shein.com>",¡Compra nuestra línea de maquillaje más vendida!,2025-05-13 13:32:34+00:00
"""Under Armour"" <underarmour@emails.underarmour.com>",StealthForm Uncrushable: In new colors & styles,2025-05-13 13:12:20+00:00
SodaPDF <info@enews.sodapdf.com>,[Reminder] Your subscription is now expired,2025-05-13 12:31:24+00:00
"""Coursera"" <Coursera@m.learn.coursera.org>",Join Northeastern live,2025-05-13 11:37:22+00:00
Lumosity <newsletter@notifications.lumosity.com>,Don’t,
HackerRank Team <no-reply@hackerrankmail.com>,Practice Coding with Weather Observation Station 7,2025-05-13 00:49:45+00:00
"=?UTF-8?Q?Aerom=C3=A9xico_Promociones?=
 <ampromociones@mx.aeromexico.com>","Este HOT SALE, mejor viaja con Aeroméxico",2025-05-12 23:04:05+00:00
Kaggle <noreply@kaggle.com>,Kaggle <> Google Colab Integration Updates!,2025-05-12 22:17:34+00:00
Dwayne McDaniel <dwayne.mcdaniel@gitguardian.com>,🔑 Unlock GitGuardian's Business Trial Now,2025-05-12 21:38:25+00:00
"""Indeed"" <donotreply@match.indeed.com>",Analista de Datos Jr. en Base 10,2025-05-12 21:38:16+00:00
Hey Banco <heybanco@express.medallia.com>,"Recuerda, ¡Compartirnos tu opinión!",
"""Samsung"" <no-reply@m21.email.samsung.com>",Vive en una casa completamente inteligente con Select AI 🛠️,2025-05-12 17:39:59+00:00
"=?ISO-8859-1?Q?Yohiker_Orlando_Freites_Mu=F1oz?=
 <yohiker.freites@tokioschool.com>",Tokio LATAM-Solicitud de contacto NORMAL,
PriceTravel <emarketing@em.pricetravel.com>,🔥 ¡Reserva,
"""adidas"" <adidas@mx-news.adidas.com>",📣INICIÓ ADICLUB DAYS🥳,2025-05-12 16:22:26+00:00
"=?UTF-8?Q?Aerom=C3=A9xico_Felicitaciones?=
 <amfelicitaciones@mx.aeromexico.com>","Jose, queremos llevar tu cumpleaños a nuevas alturas",2025-05-12 16:01:02+00:00
"""Hey Banco"" <noreply@hola.hey.inc>",Tus compras en 🇺🇸 ahora con Cashback 🤩,2025-05-12 15:33:15+00:00
ATTITUDE <info@attitudeliving.com>,Blush Into Summer ,
"""Under Armour"" <underarmour@emails.underarmour.com>",Nika Mühl is bringing her game & style to UA,2025-05-12 12:37:42+00:00
"""Hey Banco"" <noreply@hola.hey.inc>","Walmart cierra en EE.UU. pero se expande en México, en esta semana en ""Invierte x Hey Mercados""",2025-05-12 12:23:56+00:00
Bitly Team <hello@e.bitly.com>,The “no budget” paradox,2025-05-12 12:10:37+00:00
"""ELSA Speak"" <elsa@promo.elsanow.io>",🔥April Highlights Are In — And You’re One of Them!,2025-05-12 01:00:53+00:00
"""Under Armour"" <underarmour@emails.underarmour.com>",New gear just landed,2025-05-11 22:24:23+00:00
"""Indeed"" <donotreply@match.indeed.com>",Ingeniero de Soporte Técnico en Layer7 SAPI de CV,2025-05-11 21:32:50+00:00
"""Indeed"" <donotreply@match.indeed.com>",QA Engineer en Jaxi Tank,2025-05-11 21:32:50+00:00
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador/a Full Stack (React + .NET) en Store Intelligence,2025-05-11 21:32:49+00:00
"""SHEIN"" <shein@news.shein.com>",¡No dejes que se queden en tu carrito! Es hora de llevarlos a casa.,2025-05-11 21:27:00+00:00
=?UTF-8?b?RGlEaSBwYXJhIChNw6l4aWNvKQ==?= <didi@mx.didiglobal.com>,Consejo del Día: DiDi Card no te cobra nada,2025-05-11 20:30:55+00:00
"""Rappi"" <rappi@hello.rappi.com.mx>",Sorprende a mamá💖,2025-05-09 23:11:41+00:00
PriceTravel <emarketing@em.pricetravel.com>,✨¡Estas ofertas están,
"""Tokio School"" <enquepuedoayudarte@email.tokioschool.com>","🚀 Josue, tu viaje digital empieza aquí.",2025-05-11 16:56:12+00:00
"""SHEIN"" <shein@edm.mx.shein.com>",¡Tus puntos han sido añadidos!,2025-05-11 16:10:38+00:00
"""SHEIN"" <shein@edm.mx.shein.com>","¡Nueva temporada, nuevos looks para tus peques!",2025-05-11 15:34:20+00:00
"""Under Armour"" <underarmour@emails.underarmour.com>",You’ve never seen sneakers like these before…,2025-05-11 13:08:10+00:00
DICK'S Sporting Goods  <DSG@e.dcsg.com>,Happy Mother's Day! 💐 Celebrate with up to 50% off deals everyone will love,2025-05-11 11:18:03+00:00
AliExpress <best-info04.a3@mail.aliexpress.com>,Se vende rápido: Pantallas LCD para móviles,
GE Vernova Workday Notifications <gevernova@myworkday.com>,"GE Vernova Job Application Update: R5009899 Backend Software
 Engineer (Python) (Open)",
vix@vix.com,Verifica tu correo ,
noreply.kaspersky-latam@nexway.com,Tu suscripción se renovará en 27 días,2025-05-10 22:46:04+00:00
