from,subject,date,snippet,estado,relevante
Workable <noreply@candidates.workablemail.com>,Thanks for applying to icorp,2025-05-21 02:37:38+00:00,icorp ------------------------------------------------------------------------------- Your application for the Ingeniero Power BI - Remoto job was submitted successfully. Here's a copy of your application data for safekeeping. ------------------------------------------------------------------------------- ** PERSONAL INFORMATION ** Name: Josue Alfredo Escobar Polanco Email: josuee152@gmail.com Headline: General at Supercoldy Phone: +52 6142773926 ** PROFILE ** Education 2019 - 2024 Grado en Inge,Otro,True
no-reply@us.greenhouse-mail.io,Thank you for applying to Trackonomy,2025-05-20 15:59:15+00:00,"Josue, Thanks for applying to Trackonomy. Your application has been received and we will review it right away. If your application seems like a good fit for the role, one of our recruiters will be in touch within 3 days. Regards, Trackonomy ** Please note: Do not reply to this email. This email is sent from an unattended mailbox. Replies will not be read.",Aplicación recibida,True
Elena Yakimova <elena.yakimova@improvado.io>,Re: Your Application to Junior Analyst at Improvado,2025-05-19 16:15:53+00:00,"Hi Josue, Thank you for submitting the homework. We'll be reviewing it, and I will get back to you with the next steps shortly. Best, Elena ᐧ On Sat, May 17, 2025 at 8:49 PM Josue Escobar <josuee152@gmail.com> wrote: > Hello Elena, > > Thank you for considering my application for the Junior Analyst position > and for sharing the details of the next step. > I have reviewed the salary range and can confirm that it works for me. > > Please find attached my completed homework assignment, as requeste",Otro,True
Segula Technologies <notification@smartrecruiters.com>,Thank you for applying to Segula Technologies,2025-05-18 17:20:57+00:00,"Dear Josue Alfredo,Thank you for submitting your application for the position of Data Engineer. We will review your application and contact you shortly.Best regards,Segula Technologies Hiring Team Access My Application: https://eulink.smartrecruiters.com/c/eJxskEGr2zAQhH-NfXOQVpJXPugQmpgGSlva9NBTWEsrRw_bMrLzIP--pD32XYdvBubzeV5peV6CM0HDYJUMfmBpkcl44Tuj6-C0sGRqdhI1GmutwZpnStPntO25vMqtBZJttNKjQguAEUCjFP-463Nl9-n49XQ5Ha_n2_HX9dvtx_n7l9_13TGS4TYgCgmyIzEMHWE0WgMSRWXr5ECAEUZaiSAMHjrhZWui0kpjbJWqtNhmKnt",Aplicación recibida,True
Solidigm <notification@smartrecruiters.com>,Thank you for your interest in Solidigm,2025-05-18 17:18:56+00:00,"​Dear Josue Alfredo,Thank you for submitting your interest for the position of Machine Learning Engineer. We will review your details and contact you shortly.Best regards,Solidigm&nbsp;Talent Acquisition​ Access My Application: https://eulink.smartrecruiters.com/c/eJxskL1u2zAURp9G3GiQ9_JPAwejtlEDRVu07tDJoMhLh4ElCqQSwG9fJEW2zN85w3dindewPM7JG-EgRUiSJp1HmfVkzYRoWfJKuKAZeWmV1c5ZNIzmUO5fS99qe5cdBGlsltGidQA2Ayjl9H_u8ljJf9l_P5wP-8vxuv9z-XH9dfz57S978paURIl5FJpCJsguGSFRo7Umm4SseBCghZZOWum02SlMo5CkyelRpqw",Otro,True
Oracle Talent Acquisition <noreply@oracle.com>,We received your application,2025-05-18 04:13:09+00:00,"<table width=""425""> <tbody> <tr> <td style=""width: 413px;""> <table width=""412""> <tbody> <tr> <td style=""width: 400px;""><span style=""font-size:12px;color:5f5f5f;""> <span style=""font-family:Oracle Sans,helvetica,sans-serif;""> <img alt="""" src=""https://www.oracle.com/a/ocom/img/orc-header.jpg"" style=""display:block;margin: 0 auto;"" width=""450"" align=""middle""><br/><br/> Hi Josue,<br/><br/>Thank you for your interest in a career at Oracle! We appreciate you taking the time to submit your application fo",Otro,True
Oracle Talent Acquisition <noreply@oracle.com>,We received your application,2025-05-18 04:07:09+00:00,"<table width=""425""> <tbody> <tr> <td style=""width: 413px;""> <table width=""412""> <tbody> <tr> <td style=""width: 400px;""><span style=""font-size:12px;color:5f5f5f;""> <span style=""font-family:Oracle Sans,helvetica,sans-serif;""> <img alt="""" src=""https://www.oracle.com/a/ocom/img/orc-header.jpg"" style=""display:block;margin: 0 auto;"" width=""450"" align=""middle""><br/><br/> Hi Josue,<br/><br/>Thank you for your interest in a career at Oracle! We appreciate you taking the time to submit your application fo",Otro,True
Sequoia Connect <no-reply@sequoiaconnect.comeet-notifications.com>,We Got It: Thanks for applying for Analista de Datos Jr,2025-05-18 03:26:54+00:00,"Dear Josue,Thank you for submitting your application for the Analista de Datos Jr at Sequoia Connect. We appreciate your interest in joining our team and the effort you have taken to apply.We are currently in the process of reviewing your application thoroughly. We aim to provide you with a status update promptly and appreciate your patience during this time.Should you be exploring further career advancement in IT, we invite you to consider our IT Outplacement services, designed to support both ",Entrevista,True
NielsenIQ <notification@smartrecruiters.com>,Thank you for applying to ​Jr. Data Scientist (Hybrid)​ at ​NielsenIQ​,2025-05-18 03:15:55+00:00,"​Hi&nbsp;Josue, Good choice! We just received your application for our&nbsp;Jr. Data Scientist (Hybrid)&nbsp;role and we&#39;re happy that you want to join the team. We&#39;re definitely biased, but NielsenIQ is an awesome place to work. So now what? We&#39;ll take a look at your experience and qualifications and, if you meet the requirements, a member of our Talent Acquisition team will be in touch to discuss the next steps.&nbsp; If you want to make changes to your profile or check the status ",Aplicación recibida,True
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Jr. Data Scientist (Hybrid),2025-05-18 03:15:05+00:00,"Tu postulación ha sido enviada. ¡Buena suerte! Si encuentras algún error en tu postulación, por favor contacta con Indeed <https://apply.indeed.com/indeedapply/confirmemail/contactus?iaUid=1irgl3tjl22q9001&apiToken=85722078cef7ba1c62a2546f02f0e6e95e9dc527172c3a1bf6efbc39884226fb> ------ Indeed - una búsqueda. todos los empleos. | Indeed Ireland Operations Limited, Block B, Capital Dock, 80 Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2, D02 HE36, Ireland",Otro,True
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de Audience Intelligence,2025-05-18 03:14:43+00:00,"Tu postulación ha sido enviada. ¡Buena suerte! Si encuentras algún error en tu postulación, por favor contacta con Indeed <https://apply.indeed.com/indeedapply/confirmemail/contactus?iaUid=1irgl3msog8v7801&apiToken=aa102235a5ccb18bd3668c0e14aa3ea7e2503cfac2a7a9bf3d6549899e125af4> ------ Indeed - una búsqueda. todos los empleos. | Indeed Ireland Operations Limited, Block B, Capital Dock, 80 Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2, D02 HE36, Ireland",Otro,True
NielsenIQ <notification@smartrecruiters.com>,Thank you for applying to ​Junior Data Scientist (Hybrid)​ at ​NielsenIQ​,2025-05-18 03:13:54+00:00,"​Hi&nbsp;Josue, Good choice! We just received your application for our&nbsp;Junior Data Scientist (Hybrid)&nbsp;role and we&#39;re happy that you want to join the team. We&#39;re definitely biased, but NielsenIQ is an awesome place to work. So now what? We&#39;ll take a look at your experience and qualifications and, if you meet the requirements, a member of our Talent Acquisition team will be in touch to discuss the next steps.&nbsp; If you want to make changes to your profile or check the stat",Aplicación recibida,True
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de datos JR | Monitoreo de unidades de transporte,2025-05-18 03:13:51+00:00,"Tu postulación ha sido enviada. ¡Buena suerte! Si encuentras algún error en tu postulación, por favor contacta con Indeed <https://apply.indeed.com/indeedapply/confirmemail/contactus?iaUid=1irgl3d8tg6ln801&apiToken=aa102235a5ccb18bd3668c0e14aa3ea7e2503cfac2a7a9bf3d6549899e125af4> ------ Indeed - una búsqueda. todos los empleos. | Indeed Ireland Operations Limited, Block B, Capital Dock, 80 Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2, D02 HE36, Ireland",Otro,True
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Junior Data Scientist (Hybrid),2025-05-18 03:13:50+00:00,"Tu postulación ha sido enviada. ¡Buena suerte! Si encuentras algún error en tu postulación, por favor contacta con Indeed <https://apply.indeed.com/indeedapply/confirmemail/contactus?iaUid=1irgl34lug8v7804&apiToken=85722078cef7ba1c62a2546f02f0e6e95e9dc527172c3a1bf6efbc39884226fb> ------ Indeed - una búsqueda. todos los empleos. | Indeed Ireland Operations Limited, Block B, Capital Dock, 80 Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2, D02 HE36, Ireland",Otro,True
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Sr. Dashboard Data Analyst,2025-05-18 03:13:50+00:00,"Tu postulación ha sido enviada. ¡Buena suerte! Si encuentras algún error en tu postulación, por favor contacta con Indeed <https://apply.indeed.com/indeedapply/confirmemail/contactus?iaUid=1irgl399hg6i6801&apiToken=aa102235a5ccb18bd3668c0e14aa3ea7e2503cfac2a7a9bf3d6549899e125af4> ------ Indeed - una búsqueda. todos los empleos. | Indeed Ireland Operations Limited, Block B, Capital Dock, 80 Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2, D02 HE36, Ireland",Otro,True
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Data Scientist (SQL),2025-05-18 03:12:49+00:00,"Tu postulación ha sido enviada. ¡Buena suerte! Si encuentras algún error en tu postulación, por favor contacta con Indeed <https://apply.indeed.com/indeedapply/confirmemail/contactus?iaUid=1irgl2ve520qh001&apiToken=aa102235a5ccb18bd3668c0e14aa3ea7e2503cfac2a7a9bf3d6549899e125af4> ------ Indeed - una búsqueda. todos los empleos. | Indeed Ireland Operations Limited, Block B, Capital Dock, 80 Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2, D02 HE36, Ireland",Otro,True
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de datos Jr.,2025-05-18 03:12:47+00:00,"Tu postulación ha sido enviada. ¡Buena suerte! Si encuentras algún error en tu postulación, por favor contacta con Indeed <https://apply.indeed.com/indeedapply/confirmemail/contactus?iaUid=1irgl2jldg5ja801&apiToken=86b5420ce0a0043046905937b0069ebaefda578ff1c190d1b5cdf57b09b8dfc8> ------ Indeed - una búsqueda. todos los empleos. | Indeed Ireland Operations Limited, Block B, Capital Dock, 80 Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2, D02 HE36, Ireland",Otro,True
"""GRUPO TRUPER"" <no-reply@pandape.com>","Mantente informado sobre tu candidatura para Analista de precios
 (Base de Datos)",2025-05-18 03:11:47+00:00,"<!doctype html><html style=""background-color:#fff!important""><head><meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><meta name=""viewport"" content=""width=device-width""><!-- inject:css --><style>@media only screen and (max-width:580px){table.body img{width:auto!important;height:auto!important}table.body center{min-width:0!important}table.body .container{width:95%!important}table.body .column,table.body .columns{height:auto!important;-moz-box-sizing:border-box;-webkit-box-sizing:b",Otro,True
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de precios (Base de Datos),2025-05-18 03:11:45+00:00,"Tu postulación ha sido enviada. ¡Buena suerte! Si encuentras algún error en tu postulación, por favor contacta con Indeed <https://apply.indeed.com/indeedapply/confirmemail/contactus?iaUid=1irgl2erdg8hk800&apiToken=86b5420ce0a0043046905937b0069ebaefda578ff1c190d1b5cdf57b09b8dfc8> ------ Indeed - una búsqueda. todos los empleos. | Indeed Ireland Operations Limited, Block B, Capital Dock, 80 Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2, D02 HE36, Ireland",Otro,True
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Ingeniero de Datos,2025-05-18 03:10:57+00:00,"Tu postulación ha sido enviada. ¡Buena suerte! Si encuentras algún error en tu postulación, por favor contacta con Indeed <https://apply.indeed.com/indeedapply/confirmemail/contactus?iaUid=1irgl1o59g8uj801&apiToken=aa102235a5ccb18bd3668c0e14aa3ea7e2503cfac2a7a9bf3d6549899e125af4> ------ Indeed - una búsqueda. todos los empleos. | Indeed Ireland Operations Limited, Block B, Capital Dock, 80 Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2, D02 HE36, Ireland",Otro,True
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de Datos Junior (Limpieza de Datos) - KOR,2025-05-18 03:10:23+00:00,"Tu postulación ha sido enviada. ¡Buena suerte! Si encuentras algún error en tu postulación, por favor contacta con Indeed <https://apply.indeed.com/indeedapply/confirmemail/contactus?iaUid=1irgl14kogc6p801&apiToken=906c6ab58bd6dd23fa5ec002a84b7793e94c66e344cef13647c5a279c0277492> ------ Indeed - una búsqueda. todos los empleos. | Indeed Ireland Operations Limited, Block B, Capital Dock, 80 Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2, D02 HE36, Ireland",Otro,True
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de Datos,2025-05-18 03:02:47+00:00,"Tu postulación ha sido enviada. ¡Buena suerte! Si encuentras algún error en tu postulación, por favor contacta con Indeed <https://apply.indeed.com/indeedapply/confirmemail/contactus?iaUid=1irgktmafg6ln801&apiToken=aa102235a5ccb18bd3668c0e14aa3ea7e2503cfac2a7a9bf3d6549899e125af4> ------ Indeed - una búsqueda. todos los empleos. | Indeed Ireland Operations Limited, Block B, Capital Dock, 80 Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2, D02 HE36, Ireland",Otro,True
Elena Yakimova <elena.yakimova@improvado.io>,Your Application to Junior Analyst at Improvado,2025-05-16 21:26:53+00:00,"Hi Josue, Thank you for applying for the Junior Analyst position. As a first step in our selection process, we ask you to complete a brief homework task to move forward to the interview stage. The task description is attached to this email. Please also note that the salary range for this role is *$700–$1,000 USD gross per month*. If that works for you, feel free to proceed with the task. We wish you the best of luck and look forward to reviewing your answer. Kind regards, Elena Yakimova Talent A",Entrevista,True
insulet@myworkday.com,"Software Test Trainee  (Remote/Flexible) - Insulet - Status of your
 application",2025-05-16 04:38:14+00:00,"Dear JOSUE Alfredo, Thank you for taking the time to submit your application.After careful consideration, we have decided to move forward with other candidates whose qualifications more closely match our current needs. This was not an easy decision, as we received many strong applications, including yours.We would encourage you to continue to review available career opportunities with us as our global business continues to grow and strengthen.Thank you again for your interest in Insulet and we w",Otro,True
GE Vernova Workday Notifications <gevernova@myworkday.com>,"GE Vernova Job Application Update: R5009899 Backend Software
 Engineer (Python) (Open)",2025-05-11 04:40:39+00:00,"Hi Josue , Thank you for applying to our Backend Software Engineer (Python) role. We appreciate your patience.Unfortunately, our team did not select you for this role. Competition for jobs at GE Vernova is strong and we often make difficult choices between many great candidates.We would like to encourage you to keep an eye out for other opportunities at GE Vernova that interest you. We encourage you to join our Talent Community to receive up-to-the-minute job openings tailored just for you by cl",Rechazo,True
"""Jobgether Talent Team"" <shortlist@jobgether.com>",Follow-up on your application to Junior IT Automation Engineer,2025-05-10 09:31:33+00:00,"Hello there, Thanks again for applying to **Junior IT Automation Engineer**. Our system calculated a **match score of 69%** for your profile. ⚠️ Please note: This score is for information only. It does not mean you have been approved or rejected for the role. If your application is moving forward, we’ll get back to you within 48 hours. If you don’t hear from us, it means you were not selected. 👉 To view a detailed breakdown of this score, including what matches and what doesn’t, we invite you to",Entrevista,True
Citi Human Resources <citi@myworkday.com>,Thank you for considering Citi!,2025-05-10 07:23:08+00:00,"Dear josue, Thank you for your interest in the role of BANAMEX Data Analitycs & Scientis Jr.-25855700. We want to let you know that we unfortunately will not be moving forward with your application for this particular role. While this position might not have been right for you, there could be another opportunity for you to join our team listed in our Careers Site . So, when you have some time, we encourage you to take a look and submit an application if you see something that takes your interest",Rechazo,True
Fusemachines <recruiting+359738102-75127a63@applytojob.com>,Fusemachines Application Update,2025-05-09 23:10:28+00:00,"<p><span style=""font-size:12px;""><span style=""font-variant:normal;white-space:pre-wrap;""><span style=""font-family:Arial;""><span style=""color:#000000;""><span style=""font-weight:400;""><span style=""font-style:normal;""><span style=""text-decoration:none;"">Hi Josue Alfredo,</span></span></span></span></span></span></span></p><p><span style=""font-size:12px;""><span style=""font-variant:normal;white-space:pre-wrap;""><span style=""font-family:Arial;""><span style=""color:#000000;""><span style=""font-weight:400",Otro,True
"""Jobgether Talent Team"" <shortlist@jobgether.com>",Next Steps for Your Job Application: Junior IT Automation Engineer at Jobgether,2025-05-09 09:31:03+00:00,"Hello there, Thank you for applying to Junior IT Automation Engineer. Your application is now under review. ###**What Happens Next?** - **AI-Powered Screening:** Our AI reviews your CV and LinkedIn profile to assess your fit for the role. Every experience and skill is carefully analyzed to ensure a fair and unbiased evaluation. - **Shortlist Selection:** We automatically select the 5 best-matching candidates based on alignment with the job description. If needed, our team may conduct a manual re",Aplicación recibida,True
Braintrust <donotreply@usebraintrust.com>,🔔,2025-05-08 17:54:52+00:00,"Braintrust Hey Josue, We wanted to keep you in the loop and make sure you never miss a beat on the topics that matter to you. Here are the latest updates from Career Help and your Spaces. Kien Tran (https://u4683470.ct.sendgrid.net/ls/click?upn=u001.7fRMHT2F4lhm69-2BA8eu72C002BXCN0ux-2Boz6JG9z6gJFpU-2BJGKk8V7msW68Xt-2BSmp-2Fq7H47B-2B06Ro8hn3txpBg-3D-3DrrlF_eYV5g1hqgcv4b3Alj-2F6l1kBYNwRT5CWHETmTIxek73qSgHu9k-2FJuht-2FLzdM0Tv0KUY6fLlq7hlSOZJ6f72-2FEygXLiafo7ScaBbSU9p6zp6axjtQq2HhI6AuxD8ygBppAPgrqP",Otro,True
no-reply@g-p.com,Notification regarding your application with G-P,2025-05-08 17:13:05+00:00,"Hi josue, Thank you for your application to the Data Analyst role at G-P. After careful consideration of a large number of high-quality candidates, we regret to inform you that we will not be moving forward with your application at this time. We sincerely appreciate the effort you put into your application, and we were truly impressed with your qualifications. We encourage you to consider applying to G-P again in the future. Thanks again for your interest in G-P, and best of luck in your search!",Otro,True
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Estructurador de Datos,2025-05-08 13:42:44+00:00,"Tu postulación ha sido enviada. ¡Buena suerte! Si encuentras algún error en tu postulación, por favor contacta con Indeed <https://apply.indeed.com/indeedapply/confirmemail/contactus?iaUid=1iqo21tpjgfbm801&apiToken=aa102235a5ccb18bd3668c0e14aa3ea7e2503cfac2a7a9bf3d6549899e125af4> ------ Indeed - una búsqueda. todos los empleos. | Indeed Ireland Operations Limited, Block B, Capital Dock, 80 Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2, D02 HE36, Ireland",Otro,True
"""Grupo ViZion "" <no-reply@pandape.com>",Mantente informado sobre tu candidatura para Analista de Datos,2025-05-08 13:41:05+00:00,"<!doctype html><html style=""background-color:#fff!important""><head><meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><meta name=""viewport"" content=""width=device-width""><!-- inject:css --><style>@media only screen and (max-width:580px){table.body img{width:auto!important;height:auto!important}table.body center{min-width:0!important}table.body .container{width:95%!important}table.body .column,table.body .columns{height:auto!important;-moz-box-sizing:border-box;-webkit-box-sizing:b",Otro,True
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de Datos,2025-05-08 13:40:59+00:00,"Tu postulación ha sido enviada. ¡Buena suerte! Si encuentras algún error en tu postulación, por favor contacta con Indeed <https://apply.indeed.com/indeedapply/confirmemail/contactus?iaUid=1iqo1vhqlgfa1802&apiToken=86b5420ce0a0043046905937b0069ebaefda578ff1c190d1b5cdf57b09b8dfc8> ------ Indeed - una búsqueda. todos los empleos. | Indeed Ireland Operations Limited, Block B, Capital Dock, 80 Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2, D02 HE36, Ireland",Otro,True
no-reply@telusinternational.ai,Your Registration Status,2025-05-08 09:53:57+00:00,"Dear josue, Thank you for you for taking the time to register for the Online Data Analyst Mexico opportunity with TELUS International. We appreciate your interest in joining our AI Community. After careful consideration, we regret to inform you that you were not successful on this occasion and therefore we will not be proceeding further with your registration for the role. Please note that due to the large volume of applications we receive, we are unable to provide individual feedback at this st",Otro,True
"""Alejandro Aguilar, Alegra"" <alejandro.aguilar@alegra.na.teamtailor-mail.com>",Próximo paso para ser Junior Data Analyst (Collection) en Alegra 🌟,2025-05-08 01:17:40+00:00,"Hola, Josue 👋 ¡Gracias por postularte a Alegra! Hemos recibido tu perfil e información. Para completar tu postulación, necesitamos que realices un breve video de presentación y respondas algunas preguntas por escrito. 🎥✍️ Adjunto a este correo encontrarás las instrucciones detalladas para esta actividad. Una vez que recibamos y revisemos tu video y respuestas, evaluaremos tu candidatura de forma integral. Si avanzas en el proceso, nos pondremos en contacto contigo para la siguiente fase; de lo c",Otro,True
"""Alejandro Aguilar, Alegra"" <alejandro.aguilar@alegra.na.teamtailor-mail.com>",Hemos recibido tu aplicación 🚀,2025-05-08 01:02:27+00:00,"¡Hola, Josue! 👋 Hemos recibido tu perfil e información. En Alegra estamos emocionados de revisar cada solicitud que nos llega. A diario muchos candidatos increíbles se postulan 🤩, ¡y nos comprometemos a dar respuesta a todos! Nos tomamos el tiempo de revisar uno a uno con detenimiento ✍, pero ten la certeza de que recibirás respuesta 🤝. Ahora, como siguiente paso en nuestro proceso de selección, vamos a revisar tu perfil y en caso de que hagas fit con la posición buscada, te contactaremos para l",Otro,True
